title,artist,created,genre,duration_sec,plays,likes,url
"Vintage Culture @ Ibiza Waves, Closing Summer 2014, European Tour",Vintage Culture,2014-09-22,house,8309,763101,14771,https://soundcloud.com/vintageculturemusic/vintage-culture-ibiza-waves-closing-summer-2014
Hollywood,Vintage Culture,2018-09-11,,429,30672,272,https://soundcloud.com/vintageculturemusic/hollywood-2
Sometimes,Vintage Culture,2018-09-11,,331,50663,680,https://soundcloud.com/vintageculturemusic/sometimes-2
Eternity Original Mix,Vintage Culture,2018-09-11,,209,37665,541,https://soundcloud.com/vintageculturemusic/eternity-original-mix
Monday,Vintage Culture,2018-09-11,,191,25592,339,https://soundcloud.com/vintageculturemusic/monday-1
Everyday,Vintage Culture,2018-09-11,,374,61281,1043,https://soundcloud.com/vintageculturemusic/everyday-1
Human - Remix,Vintage Culture,2018-09-11,,211,61655,1379,https://soundcloud.com/vintageculturemusic/human-remix-1
Hollywood Extended,Vintage Culture,2018-09-11,,429,21461,202,https://soundcloud.com/vintageculturemusic/hollywood-extended
Later,Vintage Culture,2018-09-11,,210,21457,298,https://soundcloud.com/vintageculturemusic/later-3
Why Don T U Love Extended,Vintage Culture,2018-09-11,,306,29626,540,https://soundcloud.com/vintageculturemusic/why-don-t-u-love-extended-1
Memories Extended,Vintage Culture,2018-09-11,,302,34423,525,https://soundcloud.com/vintageculturemusic/memories-extended
Wild Kidz,Vintage Culture,2018-09-11,,187,29996,624,https://soundcloud.com/vintageculturemusic/wild-kidz-1
Eyes,Vintage Culture,2018-09-11,,416,41544,643,https://soundcloud.com/vintageculturemusic/eyes-1
Voices (Feat Ellie Ka),Vintage Culture,2018-09-11,,342,39613,595,https://soundcloud.com/vintageculturemusic/voices-feat-ellie-ka
Vintage Culture @ Anzu Club - SP. 16.08.2014,Vintage Culture,2014-09-03,vintageculture,4336,469847,10001,https://soundcloud.com/vintageculturemusic/vintage-culture-anzu-club-sp-16082014-pistinhameuamor
Vintage Culture - Deep Inside [Ibiza G] / Out Now,Vintage Culture,2014-08-11,sleazyg,155,714280,14630,https://soundcloud.com/vintageculturemusic/vintage-culture-deep-inside
Vintage Culture - Slowing Down,Vintage Culture,2014-07-31,house,291,1523018,30826,https://soundcloud.com/vintageculturemusic/vintage-culture-slowing-down-enourmous-tunes
"Vintage Culture, Hot Light - Secret Lover",Vintage Culture,2014-07-09,house,174,306328,6184,https://soundcloud.com/vintageculturemusic/vintage-culture-hot-light-secret-lover
Vintage Culture - Hey Ho EP w/ Nytron OUT 19 June | Loulou,Vintage Culture,2014-06-19,loulourecords,578,371045,6915,https://soundcloud.com/vintageculturemusic/vintage-culture-hey-ho-ep-w-nytron-out-19-june-loulou
Cazuza - Bete Balanco (Vintage Culture Remix),Vintage Culture,2014-06-11,Brazilian Swing,369,1503193,27666,https://soundcloud.com/vintageculturemusic/cazuza-bete-balanco-vintage-culture-remix
"Vintage Culture, Thomaz Krauze feat TK Wonder - Love Games",Vintage Culture,2014-06-03,House,128,237998,4294,https://soundcloud.com/vintageculturemusic/vintage-culture-thomaz-krauze-feat-tk-wonder-love-games
"Vintage Culture - Love Games EP Inc Thomaz Krauze, TK Wonder/ OUT NOWWW",Vintage Culture,2014-06-02,House,452,372223,7310,https://soundcloud.com/vintageculturemusic/vintage-culture-love-games-ep-inc-thomaz-krauze-tk-wonder
Vintage Culture @ Tribe Festival 2014 - SP,Vintage Culture,2014-05-20,Vintage Culture,4893,1407847,26286,https://soundcloud.com/vintageculturemusic/vintage-culture-tribe-festival-itu-sp-170514
"Saccao,Pao & Jazzyfunk - Come Back Home (Vintage Culture RMX) OUT NOW!!",Vintage Culture,2014-05-12,Indie Dance/Nu Disco,234,278419,5527,https://soundcloud.com/vintageculturemusic/saccao-pao-jazzyfunk-come
Vintage Culture @ House Waves,Vintage Culture,2014-04-30,Deep House Nu School,4898,700473,14322,https://soundcloud.com/vintageculturemusic/vintage-culture-house-waves
Vintage Culture - You Can't Hide [Enormous Tunes],Vintage Culture,2014-04-10,Nu Skool Deep,268,1258167,22972,https://soundcloud.com/vintageculturemusic/vintage-culture-you-cant-hide
"Sammy W, Alex E -  When I Rock (Vintage Culture Remix) [Loulou]",Vintage Culture,2014-03-27,,203,376912,7780,https://soundcloud.com/vintageculturemusic/sammy-w-alex-e-when-i-rock
Vintage Culture - Everyday Is A G-Thing EP [SLEAZY G] #TOP1,Vintage Culture,2014-02-02,Indie Dance/Nu Disco,406,697768,13715,https://soundcloud.com/vintageculturemusic/vintage-culture-everyday-is-a
"Saccao, Pao & Jazzyfunk - Come Back Home (Vintage Culture Remix) OUT NOWWW",Vintage Culture,2014-01-28,Indie Dance/Nu Disco,234,480649,10123,https://soundcloud.com/vintageculturemusic/saccao-pao-jazzyfunk-come-back
Vintage Culture feat Ashibah - Circles - Original Mix,Vintage Culture,2013-11-26,Nu Skool Deep,219,592709,11467,https://soundcloud.com/vintageculturemusic/vintage-culture-feat-ashiba-3
Vintage Culture - Spring Mix,Vintage Culture,2013-10-23,Deep House | Nu Disco ,3497,190499,4009,https://soundcloud.com/vintageculturemusic/vintage-culture-spring-mix
Vintage Culture.feat TK Wonder - Van Gogh [PopArt],Vintage Culture,2013-10-09,Deep House | Future Garage,201,200055,4389,https://soundcloud.com/vintageculturemusic/vintage-culture-feat-tk-wonder
Nytron & Lucas Arr - Shotgun Bass (Vintage Culture Rmx) #OUT NOW [SNIPPET Rec],Vintage Culture,2013-09-10,Nu School Deep House,251,496774,9807,https://soundcloud.com/vintageculturemusic/nytron-lucas-arr-shotgun-bass
Vintage Culture & theDuo - Everyday  [SLEAZY G],Vintage Culture,2013-08-26,Whatever,224,1191668,22314,https://soundcloud.com/vintageculturemusic/vintage-culture-theduo
Vintage Culture - Make My Body Move OUT NOW# [DIAMOND CLASH],Vintage Culture,2013-08-19,Deep House/90's/Retro,248,300536,5830,https://soundcloud.com/vintageculturemusic/vintage-culture-make-body-move
Final Djs feat. Stee Downes - One Day In the Sun (Vintage Culture Remix) # OUT NOW | TOP11#,Vintage Culture,2013-08-01,Deep Sexy Disco,161,251192,4653,https://soundcloud.com/vintageculturemusic/final-djs-feat-stee-downes-one
Vijay and Sofia Zlakto - Rap Verse (Vintage Culture Remix) #OUT NOW,Vintage Culture,2013-06-06,Indie Dance/New School Deep House,199,227723,4689,https://soundcloud.com/vintageculturemusic/vijay-and-sofia-zlakto-rap
Vintage Culture & Elephanto - Rock My Intro,Vintage Culture,2013-04-29,Indie/Deep House,265,321991,6501,https://soundcloud.com/vintageculturemusic/elephanto-vintage-culture-rock
Vintage Culture - What U Want #OUT NOW,Vintage Culture,2013-04-08,Indie Dance/New School Deep House,214,1094614,16227,https://soundcloud.com/vintageculturemusic/vintage-culture-what-u-want
Vintage Culture - Fucking Bitches #OUT NOWWW,Vintage Culture,2013-02-06,Deep House New School,96,248874,4835,https://soundcloud.com/vintageculturemusic/vintage-culture-fucking
Vintage Culture - Disco Nights(Demo Tape),Vintage Culture,2012-08-19,Deep House | New School,323,283087,5561,https://soundcloud.com/vintageculturemusic/disco-nights00
