title,artist,created,genre,duration_sec,plays,likes,url
"Higher (feat. Nobuhle)","Shimza featuring Nobuhle","2022-04-05","World",359,38749,991,"https://soundcloud.com/shimza/higher-feat-nobuhle"
"9 Kramer (feat. Cuebur & VITOTO)","Shimza featuring Cuebur and VITOTO","2022-04-05","World",345,17773,548,"https://soundcloud.com/shimza/9-kramer-feat-cuebur-vitoto"
"Higher (Radio Edit) [feat. Nobuhle]","Shimza featuring Nobuhle","2022-03-29","World",240,10102,363,"https://soundcloud.com/shimza/higher-radio-edit-feat-nobuhle"
"Hope","Shimza","2022-02-22","R&B/Soul",30,1170,12,"https://soundcloud.com/shimza/hope"
"Howling Moon (Shimza's AfroTech Remix)","Shimza and Kieran Fowkes","2021-12-23","Dance",449,25384,823,"https://soundcloud.com/shimza/howling-moon-shimzas-afrotech"
"The Choir (Original Mix)","Shimza","2021-12-20","Dance",344,25784,818,"https://soundcloud.com/shimza/the-choir-original-mix"
"Howling Moon (Denis Horvat Remix)","Shimza and Kieran Fowkes","2021-12-13","Dance",481,7648,228,"https://soundcloud.com/shimza/howling-moon-denis-horvat"
"Howling Moon (Original Mix)","Shimza and Kieran Fowkes","2021-12-03","Dance",418,10498,300,"https://soundcloud.com/shimza/howling-moon-original-mix-feat"
"Fight To Love (Louie Vega Instrumental Remix) [feat. Maleh]","Shimza featuring Maleh","2021-08-04","World",686,2810,65,"https://soundcloud.com/shimza/fight-to-love-louie-vega-1"
"Fight To Love (Louie Vega Remix) [feat. Maleh]","Shimza","2021-08-04","World",686,6441,212,"https://soundcloud.com/shimza/fight-to-love-louie-vega-remix"
"Fight To Love (feat. Maleh)","Shimza featuring Maleh","2021-08-04","World",316,46610,1292,"https://soundcloud.com/shimza/fight-to-love-feat-maleh"
"Fight to Love (Floyd Lavine Remix) [feat. Maleh]","Shimza featuring Maleh","2021-08-04","World",298,25952,735,"https://soundcloud.com/shimza/fight-to-love-floyd-lavine"
"Fight To Love (Louie Vega Expansions NYC Edit) [feat. Maleh]","Shimza featuring Maleh","2021-08-04","World",239,4044,96,"https://soundcloud.com/shimza/fight-to-love-louie-vega"
"Fight to Love (Radio Edit) [feat. Maleh]","Shimza featuring Maleh","2021-08-04","World",248,16112,397,"https://soundcloud.com/shimza/fight-to-love-radio-edit-feat"
"Shimza KUNYE  Portugal","Shimza","2021-09-02","Afro House/Tech",5524,29369,1006,"https://soundcloud.com/shimza/kunye-shimza-portugal"
"Kwiish SA - LiYoshona (feat. Njelic, Malumnator & De Mthuda) Shimza Remix","Shimza","2021-08-23","House",359,40724,1252,"https://soundcloud.com/shimza/kwiish-sa-liyoshona-feat-njelic-malumnator-de-mthuda-shimza-remix"
"Kabza De Small, Sir Thrill, Maphorisa & Daliwonga - Banyana (Shimza's Remix)","Shimza","2021-08-23","House",377,25894,1273,"https://soundcloud.com/shimza/kabza-de-small-sir-thrill-maphorisa-daliwonga-banyana-shimzas-remix"
"DBN Gogo feat Blaqnick, MasterBlaq, Mpura, AmaAvenger - Khuza Gogo (Shimza Remix)","Shimza","2021-08-23","House",388,25138,1018,"https://soundcloud.com/shimza/dbn-gogo-feat-blaqnick-masterblaq-mpura-amaavenger-khuza-gogo-shimza-remix"
"Shimza - KUNYE 8 August","Shimza","2021-08-23","House",4297,25858,850,"https://soundcloud.com/shimza/shimza-kunye-8-august"
"KUNYE - Shimza 11 July 2021","Shimza","2021-08-02","Afro Tech, Afro House",3808,20838,830,"https://soundcloud.com/shimza/kunye-shimza-11-july-2021"
"Vula Mlomo (Shimza Remix) [feat. Sir Trill & Nobantu Vilakazi]","Musa Keys and Shimza featuring Sir Trill and Nobantu Vilakazi","2021-07-08","Electronic",358,17319,529,"https://soundcloud.com/shimza/vula-mlomo-remix-feat-sir"
"Vula Mlomo (Shimza Remix Edit) [feat. Sir Trill & Nobantu Vilakazi]","Musa Keys and Shimza featuring Sir Trill and Nobantu Vilakazi","2021-07-08","Electronic",239,16175,389,"https://soundcloud.com/shimza/vula-mlomo-remix-edit-feat-sir"
"We Love Shimza June Mix 2021","Shimza","2021-06-30","",3733,81979,3112,"https://soundcloud.com/shimza/shimza-june-mix-2021"
"Kimberley","Shimza","2021-05-05","Afro House",30,1979,73,"https://soundcloud.com/shimza/kimberley"
"Kimberley (Luciano Remix)","Shimza","2021-05-05","Melodic Techno",30,720,22,"https://soundcloud.com/shimza/kimberley-luciano-remix"
"Kimberley (Mehari Remix)","Shimza","2021-05-05","Melodic Techno",30,609,10,"https://soundcloud.com/shimza/kimberley-mehari-remix"
"Kimberley (Late Night Edit)","Shimza","2021-05-05","Afro House",30,585,10,"https://soundcloud.com/shimza/kimberley-late-night-edit"
"Asuk","Shimza","2021-05-05","Afro House",30,982,25,"https://soundcloud.com/shimza/asuk"
"Asuk (Flaner Remix)","Shimza","2021-05-05","Melodic Techno",30,391,6,"https://soundcloud.com/shimza/asuk-flaner-remix"
"Kethiwe (feat. Sino Msolo)","Shimza and Darque featuring Sino Msolo","2021-04-01","World",382,46837,1735,"https://soundcloud.com/shimza/kethiwe-feat-sino-msolo"
"Kethiwe (Edit) [feat. Sino Msolo]","Shimza and Darque featuring Sino Msolo","2021-04-01","World",314,11811,388,"https://soundcloud.com/shimza/kethiwe-edit-feat-sino-msolo"
"Calling Out Your Name","Shimza and Mikhaela Faye","2020-10-05","Dance",422,46653,1397,"https://soundcloud.com/shimza/calling-out-your-name-feat"
"Maru","Shimza","2020-10-05","Dance",400,2917,86,"https://soundcloud.com/shimza/maru"
"Calling Out Your Name (Kostakis Remix)","Shimza and Mikhaela Faye","2020-10-05","Dance",375,4404,133,"https://soundcloud.com/shimza/calling-out-your-name-kostakis"
"Calling Out Your Name (Radio Edit)","Shimza and Mikhaela Faye","2020-10-05","Dance",211,5606,347,"https://soundcloud.com/shimza/calling-out-your-name-radio"
"Shimza - We Love Shimza 500k Mix.","Shimza","2020-03-19","Electronic",3616,18628,788,"https://soundcloud.com/shimza/shimza-we-love-shimza-500k-mix"
"Shimza - Ultra Resistence CPT 2019","Shimza","2019-05-27","Afro-Tech",3403,37095,1296,"https://soundcloud.com/shimza/shimza-ultra-resistence-cpt-2019"
"Shimza Live @ Panama Club Amsterdam 23 Nov 2018","Shimza","2018-11-24","Electronic",5263,25566,835,"https://soundcloud.com/shimza/shimza-live-panama-club-amsterdam-23-nov-2018"
"Shimza Iive From Cafe Del Mar Ibiza August 23 2018","Shimza","2018-08-30","House",3573,6566,233,"https://soundcloud.com/shimza/shimza-iive-from-cafe-del-mar-ibiza-august-23-2018"
"Shimza - Faith","Shimza","2018-08-14","",344,58508,1358,"https://soundcloud.com/shimza/shimza-faith"
"Shimza Live @ Ammo Ammo Greece 3 Hour Set","Shimza","2018-08-14","",10328,45927,1370,"https://soundcloud.com/shimza/shimza-live-ammo-ammo-greece"
"Shimza Ibiza 2018","Shimza","2018-06-28","Techno",3888,9114,332,"https://soundcloud.com/shimza/shimza-ibiza-2018"
"Shimza 2018 Mix","Shimza","2018-01-10","Techno",3621,51037,1302,"https://soundcloud.com/shimza/shimza-2018-mix"
"Shimza & Caiiro - Meu Pedido","Shimza","2017-12-05","House",379,92030,2257,"https://soundcloud.com/shimza/shimza-caiiro-meu-pedido"
"Shimza live @Destino Welcomes, Destino Ibiza (31.08.17)","Shimza","2017-09-05","House",13894,62065,1879,"https://soundcloud.com/shimza/shimza-live-destino-welcomes-destino-ibiza-310817"
"Shimza | eUNITE Mix (June 2017)","Shimza","2017-06-19","House",1497,15891,523,"https://soundcloud.com/shimza/shimza-eunite-mix-june-2017"
"We Love DJ Shimza March 2017 Mix","Shimza","2017-03-28","House",3758,42938,1026,"https://soundcloud.com/shimza/we-love-dj-shimza-march-2017-mix"
"We Love DJ Shimza | 300K Mix","Shimza","2016-06-27","House",3659,29857,835,"https://soundcloud.com/shimza/we-love-dj-shimza-300k"
"DJ Shimza feat. Cuebur & BK - Friends With Benefits","Shimza","2016-05-09","House",338,46953,1121,"https://soundcloud.com/shimza/dj-shimza-friends-with-benefits-feat-cuebur-bk"
"We Love DJ Shimza | 10th Mix","Shimza","2015-10-16","House",3571,113485,3151,"https://soundcloud.com/shimza/we-love-dj-shimza-10th-mix-akulalwa"
"DJ Shimza feat. Thandi Draai - Body 2 Body","Shimza","2014-02-18","House Music",308,54682,882,"https://soundcloud.com/shimza/dj-shimza-feat-thandi-draai"
"DJ Shimza feat. Blue Honey Bee - Gon React","Shimza","2014-02-18","House Music",226,21235,211,"https://soundcloud.com/shimza/dj-shimza-feat-blue-honey-bee"
"We Love DJ Shimza |  1st Mix","Shimza","2013-08-21","House",3079,132631,2909,"https://soundcloud.com/shimza/we-love-dj-shimza-1st-mix"
"340ml DJ Shimza & Cuebur Remix","Shimza","2011-10-18","House",435,66481,1066,"https://soundcloud.com/shimza/340ml-dj-shimza-cuebur-remix"
